name,host_name,neighbourhood,room_type,price_per_night,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,bathrooms,bedrooms,host_response_rate,review_scores_value,host_response_time
Fully Furnished 2 Bedroom in Boston near Berklee,Andre,Fenway,Entire home/apt,165,180,0,0.0,1,269,0,1.0,2,90,4.7,within a few hours
Victorian 3rd Floor Unit,Mary,Dorchester,Entire home/apt,135,1,198,2.29,2,89,42,1.0,3,100,4.71,within a day
Back Bay Apt on Marlborough St (Hereford St block),Michelle,Back Bay,Entire home/apt,202,29,19,0.22,7,292,1,1.0,0,65,4.58,within a day
1 Mile To Downtown Boston in a 2 Bedroom.,Nick,Roxbury,Entire home/apt,196,28,85,0.98,4,177,0,1.0,2,100,4.45,within a day
Boston's Best Vacation Home,Victor,Mattapan,Entire home/apt,250,29,40,0.95,1,284,0,2.0,3,100,4.8,within an hour
"North End 1 Bedroom- CLOSE MGH, Subway, Hanover St",Michelle,North End,Entire home/apt,130,32,4,0.05,7,365,0,1.0,1,65,3.75,within a day
Beacon Hill Studio - 2 min Walk to MGH-Subway-,Michelle,Beacon Hill,Entire home/apt,130,29,9,0.1,7,310,1,1.0,0,65,4.78,within a day
comfortable and cozy,Francisco,Jamaica Plain,Entire home/apt,152,2,150,1.73,5,194,5,1.0,1,100,4.81,within an hour
Melville Park Penthouse,Joshua,Dorchester,Private room,130,2,173,1.99,1,32,18,1.0,2,100,4.8,within an hour
Top of the World,William,Charlestown,Entire home/apt,853,3,238,2.76,1,277,31,2.0,5,100,4.82,within an hour
Sunny 2Bed Apt River View By Mass General Hospital,Alexander K,West End,Entire home/apt,325,75,23,0.33,11,329,2,2.0,2,100,4.78,within an hour
"Beautiful, spacious South Boston Condo, Near T",Greg,South Boston,Entire home/apt,414,2,283,3.25,1,145,40,3.0,3,100,4.89,within an hour
Yellow Quiet room,Althea,Mattapan,Private room,95,1,26,0.3,6,261,0,1.0,1,100,4.88,within an hour
Clean room near Longwood,Siena,Mission Hill,Private room,131,2,194,2.25,4,242,32,1.0,1,100,4.84,within an hour
Spacious sun-filled room near Longwood,Siena,Mission Hill,Private room,119,2,112,1.32,4,227,16,1.0,1,100,4.76,within an hour
Sunny large room with views and private bath,Siena,Mission Hill,Private room,179,2,134,1.55,4,255,19,1.0,1,100,4.77,within an hour
"Stylish Downtown Studio in the SouthEnd, C.Ave# 24",Maverick,South End,Entire home/apt,99,1,124,1.45,87,225,13,1.0,1,100,4.42,within an hour
"Perfect Location, only 3 min WALK to RED train",Ken,Dorchester,Private room,40,91,17,0.2,8,365,1,1.5,1,100,4.35,within an hour
"Sunny ocean-view suite nr subway w/kitchen, bathr.",Jessica,Dorchester,Entire home/apt,130,2,223,2.58,3,299,28,1.0,1,82,4.71,within a few hours
Boston Home Great Location,Booker,Jamaica Plain,Private room,130,1,300,3.47,2,353,35,2.0,1,100,4.78,within an hour
Shelly's Place Cozy,Shelly,East Boston,Private room,69,1,901,10.45,6,116,136,1.0,1,100,4.83,within an hour
Back Bay Apartment near MIT and Newbury Street - G,Riverside,Back Bay,Entire home/apt,207,29,87,1.01,2,324,0,1.0,0,100,4.69,within an hour
Modern Basement with Convenient Transportation,Yanlin,West Roxbury,Private room,76,3,117,1.36,2,330,21,1.0,1,100,4.85,within an hour
Luxurious Home in Boston's Historic Charlestown,Katherine,Charlestown,Entire home/apt,210,2,360,4.18,1,133,52,1.0,1,100,4.8,within an hour
Perfect Location in an All Female's Floor,Ken,Dorchester,Private room,40,91,8,0.09,8,90,0,1.5,1,100,5.0,within an hour
"#3 Maverick MBTA clean, comfy private room",Enlan,East Boston,Private room,97,2,477,5.54,3,36,46,2.0,4,95,4.7,within an hour
"#2 Maverick MBTA clean, comfy, private Room",Enlan,East Boston,Private room,99,2,478,5.56,3,39,52,2.0,1,95,4.65,within an hour
Newly renovated Female floor Center of Boston,Ken,Dorchester,Private room,49,91,11,0.13,8,365,0,1.5,1,100,4.82,within an hour
2 sunny guest rooms in 1920s flat amid parks+cafés,Fabien,Jamaica Plain,Private room,119,4,87,1.26,1,23,11,1.0,2,89,4.92,within a day
SouthEnd Penthouse,Michael,South End,Entire home/apt,333,2,229,2.67,1,117,47,1.0,1,100,4.78,within an hour
"Naturally Lit, Modern Loft in Heart of Downtown!",Kelly & Chris,Downtown,Entire home/apt,458,2,411,4.81,2,327,50,1.0,1,100,4.86,within an hour
Comfortable & Convenient in Boston w Free Parking!,Tina,West Roxbury,Private room,85,91,27,0.32,1,365,0,1.5,1,100,4.74,within an hour
BOSTON LOFT FARM HOUSE /LOGAN AIRPORT&TRAIN,Elisangela,East Boston,Entire home/apt,270,1,320,3.79,3,297,56,2.0,2,100,4.78,within an hour
Groupstay w/firepit mins2Downtown Fenway FreePrkg,Eder,Dorchester,Entire home/apt,525,2,79,0.94,7,320,6,2.0,5,96,4.53,within an hour
A_Spacious room easy commute to Boston Downtown.,Ehab,Dorchester,Private room,56,29,118,1.45,15,196,22,1.0,1,100,4.67,within a few hours
Comfortable and clean  house near Arnold Arboretum,Ling,Roslindale,Private room,35,29,9,0.17,3,235,4,1.0,1,100,4.56,within an hour
The North End Nook   -Walk to MGH Tufts Subway,Michelle,North End,Entire home/apt,130,32,1,0.01,12,365,0,1.0,1,93,4.0,within a few hours
Stylish 2nd floor w/balcony•free parking,Nakeisha,Dorchester,Entire home/apt,211,29,120,1.41,2,238,0,1.0,3,100,4.76,within an hour
Bina’s Home away from Home 3,Frederick & Sabina,Mattapan,Private room,122,2,95,1.15,5,179,7,1.0,1,100,4.84,within an hour
Spacious room in beautiful apartment,Liviu,Jamaica Plain,Private room,90,91,4,0.05,1,185,0,1.0,0,100,4.0,Unknown
Southie Home | Walk to Beach | with Patio,Victoria,South Boston,Private room,200,1,93,1.09,1,31,11,1.0,0,100,4.88,within a few hours
"Classy, Cozy South End Unit",Maude,South End,Entire home/apt,140,29,58,0.7,2,301,3,1.0,1,100,4.86,within an hour
#201 Boston Private small room Female 全楼禁烟,Anne,Dorchester,Private room,51,29,28,0.33,12,330,2,2.0,1,100,4.57,within an hour
"The Upton - The Upton Boston, South End",Laura And Olivia,South End,Entire home/apt,325,2,134,1.69,7,166,23,1.0,1,100,4.69,within an hour
Shelly's Swan Room,Shelly,East Boston,Private room,74,1,846,10.04,6,93,140,1.0,1,100,4.82,within an hour
Apartment near transit/free parking/self check-in,Sherwin,Hyde Park,Entire home/apt,64,29,60,0.71,8,68,6,1.0,1,100,4.51,within an hour
COLLEGE STUDENTS are welcome 3 MINS walk to train,Ken,Dorchester,Private room,40,91,6,0.08,8,170,0,1.5,1,100,5.0,within an hour
Beautiful South Boston Private Space in Condo,Eda,South Boston,Private room,129,2,272,3.25,1,170,40,1.5,1,100,4.89,within an hour
Classic Boston Brownstone - Walk to Everything,Gearoid,South End,Private room,161,1,427,5.11,3,64,55,2.5,1,100,4.83,Unknown
"#1 Maverick MBTA clean, comfy, private room",Enlan,East Boston,Private room,100,2,382,4.57,3,60,34,2.0,1,95,4.64,within an hour
Vintage Studio in Beacon Hill. Walk Everywhere,Sophia,Beacon Hill,Entire home/apt,123,29,82,0.98,6,121,3,1.0,1,100,4.51,within a day
Sunny & Cozy 2 BR Apt in Boston. 15 min to DWTN,Frank,Roxbury,Entire home/apt,214,2,428,5.13,1,115,61,1.0,2,100,4.87,within an hour
Hola Joy  2,Clara M,Brighton,Private room,83,1,63,0.75,6,350,19,1.0,1,100,4.81,within an hour
Hola Joy 3,Clara M,Brighton,Private room,94,1,49,0.59,6,364,10,1.0,1,100,4.82,within an hour
"2 Bed Apt By Boston Childrens Hosptial, Brigham Hp",Alexander K,Mission Hill,Entire home/apt,201,30,19,0.28,11,307,0,1.0,2,100,4.63,within an hour
Light-Filled Luxury Apartment with View,Devora,Roxbury,Entire home/apt,248,2,347,4.19,1,209,67,1.0,2,100,4.87,within an hour
Perfect Room in the South End for solo adventurer,Gearoid,South End,Private room,150,1,263,3.16,3,66,48,2.5,1,100,4.81,Unknown
"Downtown Boston, Near South Station Bus Terminal",Ping,Chinatown,Entire home/apt,197,91,162,1.97,4,206,14,1.0,2,100,4.58,within an hour
Alaska Street R53,Mort,Roxbury,Private room,68,2,74,0.89,7,360,14,1.0,1,100,4.36,within an hour
"Spacious room, near transit, keyless self check-in",Sherwin,Hyde Park,Private room,38,29,36,0.43,8,78,6,1.0,1,100,4.89,within an hour
"Room near MBTA transit, Keyless self check-in",Sherwin,Hyde Park,Private room,38,29,41,0.49,8,55,6,1.0,1,100,4.78,within an hour
Entire 2 Bedroom Deck Yard,Anthony,Roslindale,Entire home/apt,100,91,0,0.0,2,211,0,1.0,2,100,4.7,within an hour
Large 2 Bed/ 2 Bath | Modern Building | Across MGH,Alexander K,West End,Entire home/apt,336,75,10,0.12,11,258,3,2.0,2,100,4.1,within an hour
Roslindale 1st flr private room full bed 2 guests,Lynda,Roslindale,Private room,65,29,19,0.23,16,89,0,1.0,1,100,4.79,within an hour
Bina’s Home Away from Home Cozy Master Suite,Frederick & Sabina,Mattapan,Private room,140,2,68,0.82,5,180,8,1.0,1,100,4.78,within an hour
#B104 Boston Private Two twin BR Central AC,Anne,Dorchester,Private room,71,29,25,0.3,12,252,0,2.0,1,100,4.8,within an hour
Bina’s Home away from Home 2,Frederick & Sabina,Mattapan,Private room,150,2,72,0.87,5,38,0,1.0,1,100,4.83,within an hour
Boston guest suite,Jonathan,Brighton,Entire home/apt,163,2,371,4.51,1,161,42,1.0,1,100,4.83,within an hour
#B102 Boston Private room Cantal AC 全楼禁烟,Anne,Dorchester,Private room,55,29,32,0.39,12,273,1,2.0,1,100,4.63,within an hour
Large Modern 2 Bed Apt 2 Bath By MGH W/D in Suite,Alexander K,West End,Entire home/apt,301,30,6,0.08,11,310,0,2.0,2,100,4.83,within an hour
Bina’s Home away from home 6,Frederick & Sabina,Mattapan,Private room,135,2,78,0.97,5,180,5,1.0,1,100,4.77,within an hour
Lower Mills Guest Suite,Robert E,Mattapan,Entire home/apt,168,2,125,1.6,1,5,14,1.0,2,100,4.84,within a day
Luxury North End (Waterfront) walk to MGH Subway,Michelle,North End,Entire home/apt,255,30,0,0.0,7,210,0,1.0,0,65,4.7,within a day
La Casa Boheme - Upstairs First Bedroom,Gianni,Roxbury,Private room,66,29,39,0.48,2,362,4,1.5,1,100,4.82,within a day
"Blueground | Back Bay, gym, nr the common",Blueground,Bay Village,Entire home/apt,338,32,1,0.01,369,39,0,1.0,1,99,5.0,within an hour
"Mount Restwell, Serenity Vicinity",Andre,Hyde Park,Private room,49,29,20,0.25,5,307,1,2.0,1,100,4.85,within an hour
Hola Joy 1,Clara M,Brighton,Private room,78,1,50,0.61,6,355,13,1.0,1,100,4.72,within an hour
Alaska Street R43,Mort,Roxbury,Private room,75,2,73,0.89,7,360,13,1.0,1,100,4.41,within an hour
Alaska Street R42,Jeana,Roxbury,Private room,70,2,105,1.29,3,342,26,1.0,1,100,4.67,within an hour
Simple South Boston Stays (entire place),Kiki,South Boston,Entire home/apt,220,2,67,0.83,1,89,9,1.0,1,100,4.75,within an hour
Special and Breathtaking East Boston studio,Rohn,East Boston,Private room,96,1,133,1.64,1,56,51,0.0,0,100,4.73,within an hour
Brighton,Amaro,Brighton,Private room,85,29,81,1.0,1,364,1,1.0,1,100,4.93,within an hour
"15min T to Downtown, Walk to airport & subway",Totana,East Boston,Private room,75,1,703,8.64,3,68,93,1.0,1,100,4.79,within an hour
ROOM B,Keith,West Roxbury,Private room,66,1,106,1.3,4,243,14,1.0,1,91,4.79,within an hour
ROOM A,Keith,West Roxbury,Private room,66,1,87,1.07,4,268,11,1.0,4,91,4.75,within an hour
ROOM C,Keith,West Roxbury,Private room,66,1,115,1.42,4,261,7,1.0,1,91,4.65,within an hour
Room D,Keith,West Roxbury,Private room,66,1,137,1.68,4,218,19,1.0,1,91,4.62,within an hour
Artistic charm in hip J.P.,Andrea,Jamaica Plain,Entire home/apt,136,2,183,2.28,1,23,28,1.0,1,100,4.8,within an hour
"Leafy & Tranquil, Artist house. Easy access Boston",Catherine,Jamaica Plain,Entire home/apt,311,90,97,1.29,2,280,12,1.0,2,100,4.82,within an hour
"Skylit Suite in Musical home, easy access Boston",Catherine,Jamaica Plain,Entire home/apt,251,1,167,2.22,2,365,30,1.0,1,100,4.76,within an hour
Luxurious Victorian Carriage House,Bruce,Jamaica Plain,Entire home/apt,637,3,66,0.87,1,41,20,2.0,4,90,4.8,within an hour
Carols place in Brighton,Carol,Brighton,Private room,40,29,14,0.2,1,300,0,1.0,1,100,4.93,Unknown
Upper Duplex Penthouse with Water View,Lauren,South Boston,Entire home/apt,248,29,144,1.8,1,257,4,2.0,4,100,4.49,Unknown
Paul Revere Suite PVT Entry/BATH QN Bed Sparkling,William John,South Boston,Entire home/apt,145,2,408,5.03,3,171,49,1.0,0,100,4.88,within an hour
Back Bay studio on Marlborough St (91 night min),Michelle,Back Bay,Entire home/apt,90,91,1,0.02,7,364,0,1.0,0,65,5.0,within a day
Boston Home Near Downtown,Booker,Jamaica Plain,Private room,137,1,235,2.91,2,361,37,2.0,1,100,4.71,within an hour
Charming Upscale Duplex | near T,Daniel,Roxbury,Entire home/apt,346,29,5,0.07,6,308,0,3.0,3,100,5.0,within an hour
Cozy Apartment | near T,Daniel,Roxbury,Entire home/apt,237,30,81,1.01,6,316,0,2.0,2,100,4.59,within an hour
Cozy Back Bay Boston Retreat!,Timothy,Back Bay,Entire home/apt,278,2,463,6.47,1,18,74,1.5,1,100,4.86,within an hour
"Blueground | South Boston, fitness center",Blueground,South Boston,Entire home/apt,337,32,0,0.0,369,50,0,2.0,2,99,4.7,within an hour
Bright & Spacious Loft Steps to the Freedom Trail,Aaron,Downtown,Entire home/apt,392,2,322,4.14,1,207,62,1.0,1,100,4.84,within an hour
"Spectacular, luxury Bay Village/Back Bay Condo",Tim,Bay Village,Entire home/apt,229,1,424,5.27,1,206,64,1.5,2,62,4.73,within a few hours
Rose Room/Harvard Business School/free parking早餐方便,Tingying(Helen),Brighton,Private room,61,29,16,0.2,3,182,3,1.5,1,67,4.81,within a day
Bina’s Home away from home  5,Frederick & Sabina,Mattapan,Private room,125,2,85,1.06,5,179,6,1.0,1,100,4.76,within an hour
H_Sunny room easy commute to Boston Downtown.,Ehab,Dorchester,Private room,66,29,142,3.08,15,136,27,1.0,1,100,4.69,within a few hours
Lily Room/Harvard Business School/free parking+早餐,Tingying(Helen),Brighton,Private room,63,29,27,0.34,3,129,2,1.5,1,67,4.85,within a day
Sunflower Room/Harvard Business School/ Parking+早餐,Tingying(Helen),Brighton,Private room,72,29,27,0.34,3,307,2,1.5,1,67,4.89,within a day
Copley House Queen Studio,Copley,Back Bay,Entire home/apt,265,1,76,0.99,7,310,13,1.0,0,99,4.29,within an hour
Victorian house comfortable and cozy,Francisco,Jamaica Plain,Entire home/apt,315,2,58,1.05,5,268,12,2.0,4,100,4.84,within an hour
Copley House King Studio,Copley,Back Bay,Entire home/apt,281,1,13,0.19,7,319,1,2.0,0,99,4.15,within an hour
"Sleeps 4, comfortable apt. in quiet Boston suburb",Sofia,West Roxbury,Entire home/apt,193,1,96,1.2,1,120,45,1.0,2,100,4.89,within a few hours
#B201 private full size bed room Boston,Anne,Dorchester,Private room,50,29,15,0.2,12,346,3,2.0,1,100,4.8,within an hour
"Bed, Bath and Beyond in Jamaica Plain",Susan,Jamaica Plain,Private room,53,91,48,0.6,2,365,0,1.0,1,40,4.83,a few days or more
"Bed, Bath and Beyond II in Jamaica Plain",Susan,Jamaica Plain,Private room,48,91,49,0.64,2,365,0,1.0,1,40,4.88,a few days or more
Karlie’s Place #2,Esther,Mattapan,Private room,80,29,199,2.51,2,269,0,1.0,1,100,4.83,within a few hours
"Blueground | Back Bay, gym, nr the common",Blueground,Bay Village,Entire home/apt,362,32,1,0.01,369,308,0,1.0,1,99,4.0,within an hour
"Blueground | Back Bay, gym, nr newbury st",Blueground,Back Bay,Entire home/apt,443,32,0,0.0,369,0,0,1.0,1,99,4.7,within an hour
Triple Decker Guesthouse for up to 24 guests!,Muny,Dorchester,Entire home/apt,903,1,52,0.72,4,238,3,4.5,6,100,4.77,within an hour
"Blueground | South Boston, gym & doorman",Blueground,South Boston,Entire home/apt,274,32,1,0.37,369,342,1,1.0,1,99,5.0,within an hour
New 2 floor 3 BR |1 Bath Unit near Seaport/BCEC,Shelby,South Boston,Entire home/apt,353,1,270,3.43,2,227,40,1.0,3,100,4.7,within an hour
Fort Hill top -1Bk Private Room in Brick Townhouse,Kevin,Roxbury,Private room,51,30,16,0.21,3,158,3,2.0,1,100,4.75,within a few hours
"Charming Studio (Fenway, Back Bay, Symphony)",Nancy,Fenway,Entire home/apt,150,2,129,1.67,1,77,51,1.0,0,100,4.67,within an hour
"BACK BAY walk to Berklee, Northeastern, Newbury St",Michelle,Fenway,Entire home/apt,177,29,3,0.04,7,333,0,1.0,0,65,4.67,within a day
Basement room,Althea,Mattapan,Private room,67,2,6,0.08,6,230,0,1.0,1,100,4.33,within an hour
A minute walk from the Red Line (Shawmut) Room 3,Yuki,Dorchester,Private room,50,31,5,0.07,5,291,0,1.0,1,100,5.0,within a few hours
Modern Parkside Greenhome,Cynthia,Dorchester,Entire home/apt,141,91,0,0.0,1,362,0,1.0,2,100,4.7,within an hour
"Stylish, 1st Floor•Free parking & close to T",Nakeisha,Dorchester,Entire home/apt,242,2,41,0.54,2,217,18,1.0,3,100,4.8,within an hour
"Blueground | Beacon Hill, nr state house",Blueground,West End,Entire home/apt,303,32,0,0.0,369,171,0,1.0,1,99,4.7,within an hour
"Bedroom in a sunny, cozy, + colorful JP apartment",Matt,Jamaica Plain,Private room,39,29,20,0.26,1,103,0,1.0,2,100,4.95,Unknown
"East Boston- Newly Renovated, Prof. Clean, 1bd Apt",Nick,East Boston,Entire home/apt,93,29,26,0.37,4,121,4,1.0,1,92,4.73,within an hour
A bit of France in Boston,Aaron,Dorchester,Private room,102,1,227,2.97,3,261,46,1.5,1,100,4.93,within an hour
"Blueground | Beacon Hill, great views & doorman",Blueground,West End,Entire home/apt,370,32,0,0.0,369,182,0,2.0,2,99,4.7,within an hour
#B101 Boston New Central  AC queen bed 全楼禁烟 厨具齐备,Anne,Dorchester,Private room,60,29,28,0.37,12,322,2,2.0,1,100,4.36,within an hour
Bright Newly Renovated 1 Bed Near Franklin Park !!,Edward,Dorchester,Entire home/apt,129,29,28,0.38,12,168,0,1.0,1,100,4.39,within an hour
109S8 | The Strathmore 8 w/AC | 1BR 1BA | Private,Lance,Brighton,Entire home/apt,144,30,13,0.17,58,119,1,1.0,1,87,4.31,within a few hours
"Location, Your Next Trip Awaits",Temple Place,Downtown,Entire home/apt,171,1,87,1.17,10,104,22,1.0,1,100,4.18,within an hour
"Peaceful Retreat In Boston Near T, Easy Commuting!",Temple Place,Downtown,Entire home/apt,145,29,69,0.9,10,115,0,1.0,1,100,4.18,within an hour
Stylish Affordable Downtown Boston Studio!,Temple Place,Downtown,Entire home/apt,133,2,118,1.53,10,104,29,1.0,0,100,4.31,within an hour
Near T & Everything You Need!,Temple Place,Downtown,Entire home/apt,126,29,91,1.18,10,88,1,1.0,1,100,4.31,within an hour
Stunning BOSTON BROWNSTONE by interior designer,Keith,Fenway,Entire home/apt,278,29,13,0.18,1,189,3,1.5,2,100,4.69,within a few hours
Modern 1BR - Steps to T,Alexander Martin,Roxbury,Entire home/apt,155,2,22,1.41,5,157,16,1.0,1,100,4.73,within a few hours
Charming Art Filled Victorian w/Gorgeous Bath,Alys,Dorchester,Private room,77,1,226,3.01,1,337,33,1.0,1,100,4.76,within an hour
Beautiful Beacon Hill Home - Amazing Location!,Jay,Beacon Hill,Entire home/apt,267,1,238,3.11,22,301,38,1.0,3,100,4.25,within an hour
"SeaClusion- Queen, Harbor View",Melissa,Charlestown,Private room,336,1,71,0.96,8,159,13,1.5,1,100,4.69,within an hour
"Boston Studio, Ready For Long & Short Stays",Temple Place,Downtown,Private room,135,29,104,1.43,10,100,0,1.0,1,100,4.56,within an hour
Modern Single Studio at the Heart of Boston!,Bay Village,Bay Village,Private room,80,2,87,1.15,22,154,21,1.0,1,100,4.3,within an hour
"Great For Last Minute Stays, Studio That Sleeps 3",Bay Village,Bay Village,Entire home/apt,130,3,186,2.46,22,169,31,1.0,1,100,4.22,within an hour
Quiet Comfort in Boston - Large 2 Bed,Janice,Roslindale,Entire home/apt,200,29,10,0.13,2,341,1,1.0,2,100,4.7,within a day
Beautiful home (5 minutes away from the Train.),Ellena,Jamaica Plain,Entire home/apt,158,2,151,2.01,1,151,66,1.0,2,100,4.8,within an hour
Victorian Boston Home/NO ADDED FEES,Whit,Dorchester,Private room,130,2,145,1.91,2,259,33,1.5,1,100,4.89,within an hour
Comfort Inn in my home 2nd bedroom,Janet,Roxbury,Private room,55,29,21,0.28,3,180,1,1.5,1,100,4.52,within an hour
Super Sustainable Studio in the City,Jay,Jamaica Plain,Entire home/apt,114,1,160,2.38,22,250,28,1.0,0,100,4.66,within an hour
Private room 2nd Floor,Mirian,East Boston,Private room,45,91,1,0.01,2,365,0,1.0,1,100,5.0,within an hour
Cozy & comfy in-law suite with Boston skyline view,Camille,Roxbury,Entire home/apt,272,3,86,1.15,3,343,3,1.0,2,100,4.66,within an hour
4th Floor room 0.5 mile to Marathon finish line,Gearoid,South End,Private room,131,1,77,1.02,3,58,4,2.5,1,100,4.86,Unknown
Large Triplex Backyard near T 4 GroupsBusiness,Eder,Dorchester,Entire home/apt,1967,2,13,0.18,7,323,4,6.0,13,96,4.23,within an hour
Perfect BiG Space for Couples near Red Line,Ken,Dorchester,Private room,43,91,9,0.12,8,207,1,1.5,1,100,5.0,within an hour
"Blueground | Back Bay, gym, doorman, nr t station",Blueground,Back Bay,Entire home/apt,301,32,1,0.03,369,300,0,1.0,1,99,5.0,within an hour
Shelly's Golden Room,Shelly,East Boston,Private room,97,2,57,1.29,6,172,43,1.0,1,100,4.86,within an hour
Quiet Pondside Room Near Boston College,Haydee,Brighton,Private room,51,29,46,0.62,1,58,3,1.0,1,100,4.98,within an hour
🎖The Boiler Room | Close to Subway + Downtown🎖,Heriberto,Dorchester,Entire home/apt,90,29,269,3.7,3,294,9,1.0,1,100,4.84,within an hour
Quick Walk to the Red Line!,Marie,Dorchester,Private room,40,30,2,0.06,27,306,1,1.0,1,100,5.0,within an hour
Beacon Hill Home,Kathleen,Beacon Hill,Entire home/apt,130,29,9,0.17,2,208,5,1.0,1,100,5.0,within an hour
"Blueground | Back Bay, gym, doorman, nr t station",Blueground,Back Bay,Entire home/apt,323,32,0,0.0,369,167,0,1.0,1,99,4.7,within an hour
"Spacious Two  Bedroom Apartment Allston, MA.",M.LCarol,Allston,Entire home/apt,130,30,151,2.04,1,93,0,1.5,2,100,4.95,within a few hours
Printing Press Loft,Roy,Jamaica Plain,Entire home/apt,148,4,116,1.58,1,182,19,1.0,1,100,4.92,within an hour
Country in the City,Chi Chi,West Roxbury,Private room,37,91,0,0.0,1,365,0,1.0,1,100,4.7,Unknown
*FortHill Special! Clean Comfy & Cozy Guest Suite1,John,Roxbury,Private room,82,29,27,0.37,5,270,0,1.0,1,100,4.93,within an hour
*FortHill Special! Clean Comfy & Cozy Guest Suite3,John,Roxbury,Private room,74,2,110,1.51,5,230,16,1.0,1,100,4.62,within an hour
*FortHill Special! Clean Comfy & Cozy Guest Suite2,John,Roxbury,Private room,139,2,87,1.18,5,254,18,1.0,1,100,4.56,within an hour
Gorgeous Beacon Hill 1BR | 1BA,Kaitlyn,Beacon Hill,Entire home/apt,317,4,309,4.21,3,218,55,1.0,1,100,4.82,within an hour
1🎖Gorgeous tastefully modernized  Victorian suite,Joseph,Dorchester,Entire home/apt,192,2,197,2.69,2,270,23,2.0,2,100,4.77,within an hour
Quiet Room in Boston,Mark,West Roxbury,Private room,800,91,0,0.0,3,270,0,1.5,1,0,4.7,a few days or more
Quiet Room in Boston #2,Mark,West Roxbury,Private room,800,91,1,0.01,3,269,0,1.5,10,0,4.0,a few days or more
Beacon Hill House | MGH/MIT/Freedom Trail,Sophia,Beacon Hill,Entire home/apt,108,29,20,0.27,2,111,0,1.0,1,100,4.4,within a few hours
"Blueground | Beacon Hill, nr mass gen hospital",Blueground,Beacon Hill,Entire home/apt,223,32,2,0.05,369,36,0,1.0,1,99,4.0,within an hour
Cozy Bed Near Forest Hills,Alice,Hyde Park,Private room,51,1,38,2.56,3,263,32,1.0,1,100,4.68,within an hour
Alaska Street R52,Mort,Roxbury,Private room,111,2,62,0.86,7,348,11,1.0,1,100,4.56,within an hour
The blue room,Fehr,East Boston,Private room,110,91,3,0.04,1,365,0,2.0,1,100,5.0,Unknown
🎖Massive Victorian 1905 mansion❤️🤍💙go back in time,Joseph,Dorchester,Entire home/apt,225,2,181,2.49,2,264,20,3.0,3,100,4.83,within an hour
Copley House 1 Bedroom Suite,Copley,Back Bay,Entire home/apt,330,1,228,3.44,7,329,26,1.0,1,99,4.39,within an hour
Copley House Budget Studio,Copley,Back Bay,Entire home/apt,255,1,353,5.2,7,295,59,1.0,0,99,4.57,within an hour
2)BU/Harvard/MIT/pri bath&entrnce/freeprkng/Qn bed,Marlene,Allston,Private room,150,2,235,3.3,3,82,47,1.0,1,100,4.93,within an hour
Downtown Loft Boston - Close to everything,Konrad,Downtown,Entire home/apt,239,3,163,2.32,1,44,32,1.0,1,100,4.85,within an hour
"Beautiful, Clean Room close to Train and Downtown",Roman,Dorchester,Private room,76,29,34,0.47,3,266,3,1.0,1,100,4.76,within a few hours
Modern Efficiency Studio Awaits Your Stay!,Bay Village,Bay Village,Private room,111,2,93,1.29,22,190,23,1.0,1,100,4.2,within an hour
Just Darling Efficiency Studio Awaits!,Bay Village,Bay Village,Private room,72,2,86,1.19,22,179,15,1.0,0,100,4.27,within an hour
Explore Boston From This Central Location,Bay Village,Bay Village,Private room,111,2,61,0.85,22,186,6,1.0,1,100,4.03,within an hour
Walk to Copley or Prudential & Historic Locations,Cambridge,South End,Private room,179,120,2,0.03,1,180,0,1.5,1,100,5.0,within an hour
"NEW! Boston Condo Near MBTA, 3 Mi to Fenway! (U2)",Frank,Roxbury,Entire home/apt,234,3,150,2.26,4,319,10,1.0,3,100,4.69,within an hour
3)MIT-Harvrd-BU-pri bathrm/freeprkng/Queenbed,Marlene,Allston,Private room,150,2,260,3.67,3,82,44,1.0,1,100,4.94,within an hour
1)Harvard/MIT/BU/Priv bath&entrnce/freeprkng/Qnbed,Marlene,Allston,Private room,120,2,273,3.84,3,68,49,1.0,1,100,4.96,within an hour
Spacious Boston Bedroom 02,Antonio,Dorchester,Private room,112,29,188,2.66,7,218,58,1.0,1,100,4.8,within an hour
"The Godfrey Hotel Boston, Double Queen",The Godfrey Hotel,Downtown,Private room,335,1,14,0.22,1,113,1,1.0,1,100,4.86,Unknown
Luxury Back Bay studio on Prestigious Marlborough,Michelle,Back Bay,Entire home/apt,202,32,0,0.0,8,315,0,1.0,0,60,4.7,within a day
"Charlestown houseboat, walk to Boston attractions",Deborah,Charlestown,Entire home/apt,284,2,42,0.58,3,303,7,1.0,1,100,4.67,within an hour
Boston Rooftop Retreat,Chandra,Roxbury,Entire home/apt,197,2,308,4.36,1,276,50,1.0,1,100,4.84,within an hour
Trendy Glam Oasis | near T,Daniel,Jamaica Plain,Entire home/apt,298,29,26,0.36,1,295,0,2.0,4,100,4.73,Unknown
"The Whitney Boston, Classic Double Queen",The  Whitney Hotel,West End,Private room,845,1,0,0.0,1,342,0,1.0,1,100,4.7,Unknown
Private Master Suite & Large Livingroom in Boston,Shannon,South Boston,Private room,170,29,3,0.11,7,365,0,1.0,1,100,4.67,within a few hours
